"Site","Site_ID","Project","Date","TP","Lat","Long"
"Sucker Brook","07-SCKR-0.1","DEC","17837","37.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17837","37.1",42.902,-76.527
"Veness Brook","07-VENE-1.5","DOW","18093","22.1",42.88016,-76.56232
"Veness Brook","07-VENE-1.5","DOW","18093","22.1",42.880164,-76.56232
"Dutch Hollow Brook","07-DUCH-0.3","DOW","18093","10.9",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","18093","10.9",42.864,-76.508
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DOW","18093","88.5",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DOW","18093","88.5",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DOW","18093","88.5",42.805,-76.491
"Owasco Lake Inlet","07-OWLI-3.0","DOW","18093","14.7",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","18093","14.7",42.71667,-76.43773
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DOW","18093","11.5",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DOW","18093","11.5",42.824,-76.521
"Veness Brook","07-VENE-1.5","DOW","18066","19.9",42.88016,-76.56232
"Veness Brook","07-VENE-1.5","DOW","18066","19.9",42.880164,-76.56232
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DOW","18066","10.7",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DOW","18066","10.7",42.824,-76.521
"Dutch Hollow Brook","07-DUCH-0.3","DOW","18066","24.5",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","18066","24.5",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW","18066","43.5",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","18066","43.5",42.902,-76.527
"Owasco Lake Inlet","07-OWLI-3.0","DOW","18065","17.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","18065","17.9",42.71667,-76.43773
"Veness Brook","07-VENE-0.4","DOW","17701","122",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17701","122",42.886,-76.548
"Sucker Brook","07-SCKR-0.1","DOW","17701","49.8",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17701","49.8",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17701","11",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17701","11",42.864,-76.508
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17701","22",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17701","22",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17680",NA,42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW","17680",NA,42.71667,-76.43773
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17680","17.3",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17680","17.3",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW","17680","34.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17680","34.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17680","33.2",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17680","33.2",42.902,-76.527
"Veness Brook","07-VENE-0.4","DOW","17674","22.1",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW","17674","22.1",42.886,-76.548
"Sucker Brook","07-SCKR-0.1","DOW","17674","25.1",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW","17674","25.1",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17674","18.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW","17674","18.8",42.864,-76.508
